OptionId,OptionValue
1721,Kalin Lane (Brisbane)
1537,Kallan Dawson (North Melbourne)
850,Kamdyn McIntosh (Richmond)
1194,Kane Farrell (Port Adelaide)
1739,Kane McAuliffe (Richmond)
891,Karl Amon (Hawthorn)
1681,Karl Gallagher (Adelaide)
1595,Karl Worner (Fremantle)
1358,Keidean Coleman (Brisbane)
1332,Kieran Strachan (Adelaide)
1424,Kieren Briggs (Greater Western Sydney)
1803,Koltyn Tholstrup (Melbourne)
1669,Kyah Farris-White (Melbourne)
884,Kyle Langford (Essendon)
1737,Kyle Marshall (Port Adelaide)
1627,Kynan Brown (Melbourne)
1297,Kysaiah Pickett (Melbourne)
1744,Lachie McNeil (Western)
587,Lachie Neale (Brisbane)
1801,Lachie Sullivan (Collingwood)
673,Lachie Whitfield (Greater Western Sydney)
1619,Lachlan Ash (Greater Western Sydney)
1435,Lachlan Bramble (Western)
1635,Lachlan Charleson (Port Adelaide)
1544,Lachlan Cowan (Carlton)
1673,Lachlan Fogarty (Carlton)
1460,Lachlan Gollant (Adelaide)
1704,Lachlan Hunter (Melbourne)
1712,Lachlan Jones (Port Adelaide)
524,Lachlan Keeffe (Greater Western Sydney)
1581,Lachlan McAndrew (Sydney)
1116,Lachlan Murphy (Adelaide)
1787,Lachlan Schultz (Collingwood)
1339,Lachlan Sholl (Adelaide)
1796,Lachlan Smith (Western)
1817,Lachlan Weller (Gold Coast)
1303,Laitham Vandermeer (Western)
1642,Lance Collard (St Kilda)
1702,Lawson Humphries (Geelong)
1534,Leek Aleer (Greater Western Sydney)
647,Levi Casboult (Gold Coast)
1694,Lewis Hayes (Essendon)
1057,Lewis Melican (Sydney)
1091,Lewis Young (Carlton)
1191,Liam Baker (Richmond)
866,Liam Duggan (West Coast)
1671,Liam Fawcett (Richmond)
1352,Liam Henry (St Kilda)
403,Liam Jones (Western)
1755,Liam O'Connell (St Kilda)
1776,Liam Reidy (Fremantle)
1131,Liam Ryan (West Coast)
295,Liam Shiels (North Melbourne)
1244,Liam Stocker (St Kilda)
620,Lincoln McCarthy (Brisbane)
1606,Lloyd Johnston (Gold Coast)
1374,Lloyd Meek (Hawthorn)
1771,Loch Rawlinson (West Coast)
1384,Logan McDonald (Sydney)
1751,Logan Morris (Brisbane)
1730,Luamon Lual (Essendon)
487,Luke Breust (Hawthorn)
1505,Luke Cleary (Western)
1121,Luke Davies-Uniacke (North Melbourne)
1430,Luke Edwards (West Coast)
1300,Luke Jackson (Fremantle)
1728,Luke Lloyd (Brisbane)
772,Luke McDonald (North Melbourne)
1599,Luke Nankervis (Adelaide)
485,Luke Parker (Sydney)
1440,Luke Pedlar (Adelaide)
1074,Luke Ryan (Fremantle)
1016,Mabior Chol (Hawthorn)
1535,Mac Andrew (Gold Coast)
1422,Malcolm Rosas (Gold Coast)
950,Marc Pittonet (Carlton)
803,Marcus Bontempelli (Western)
1485,Marcus Windhager (St Kilda)
686,Mark Blicavs (Geelong)
1334,Mark Keane (Adelaide)
1064,Mark O'Connor (Geelong)
1284,Marlion Pickett (Richmond)
1214,Marty Hore (Melbourne)
961,Mason Cox (Collingwood)
970,Mason Redman (Essendon)
847,Mason Wood (St Kilda)
1515,Massimo D'Ambrosio (Hawthorn)
1641,Mate Colina (Richmond)
1634,Matt Carroll (Carlton)
